employee_id,employee_name,current_role,skills,dateofbirth,dateofjoining,email,mobile_number,Address,yearofexperience
495,Ronald Moss,junior software engineer,JavaScript,2000-05-08,2012-01-29,shernandez@example.org,429279452594045,"48118 Michael Curve Suite 585, North Annette, NM 01185",12
104,Lisa Munoz,senior data analyst,Statistics,1956-07-10,2022-01-11,jodytran@example.org,223858008110686,"608 Dominguez Heights, Ramirezburgh, MN 17675",2
226,Douglas Anderson,senior data engineer,Spark,1956-03-28,2014-10-13,nolsen@example.com,143945211178612,"USNS Ramirez, FPO AA 29113",10
123,Marie Malone,senior software engineer,DevOps,1996-10-28,2023-01-28,scollins@example.com,3168646007,"6865 Timothy Flat Suite 267, Byrdton, IA 23457",1
78,Thomas Garza,senior data scientist,TensorFlow,1983-05-02,2020-03-18,hurleymatthew@example.com,598602131152116,"365 Dillon Hollow, Johnsonhaven, PA 61156",4
100,Richard Scott,junior software engineer,CSS,1979-06-09,2012-11-08,gregoryhansen@example.org,13413045504,"3190 Potter Forges Suite 440, Port Veronicahaven, NM 79918",11
168,Lauren Simmons,senior software engineer,Microservices,1983-03-22,2020-02-11,steven83@example.net,4082493325,"947 Michael Unions Apt. 353, Richardsonport, MA 72638",4
267,Shawn Roberts,senior data analyst,Statistics,1973-12-02,2019-03-05,jasminestanley@example.net,1680313094772612,"5171 Misty Radial, Zacharychester, WV 82029",5
117,Gloria Williams,senior data scientist,TensorFlow,1995-04-02,2021-09-13,woodamy@example.org,2325767327,"707 Hansen Orchard, Raymondbury, MT 43605",3
267,Megan Estrada,junior software engineer,JavaScript,1999-09-04,2016-04-22,udavis@example.com,2958495838,"1278 Crawford Ports Suite 505, Lake Monicaport, DE 06561",8
421,Charles Randall,junior data scientist,SQL,1991-07-13,2007-07-24,rangelamanda@example.net,674879189151853,"1951 Beard Path, Antoniohaven, TX 29532",17
333,Tyrone Pierce,senior data engineer,Hadoop,1965-03-01,2023-01-27,coxjack@example.com,244739501317884,"904 Jennifer Pass, Blackhaven, VT 42303",1
229,Laura Smith,junior data engineer,Data Warehousing,1980-02-11,2008-01-15,samantha02@example.com,9845474637,"358 Franklin Corner, Nicolestad, GU 90908",16
228,Kevin Ramos,senior software engineer,DevOps,1985-05-20,2005-09-04,nmitchell@example.net,76498195538168,"2772 Shane Union Apt. 121, Frederickport, TX 29478",19
444,Todd Duncan,senior data engineer,Data Lakes,1954-02-14,2019-07-19,careyrobert@example.org,6616621468,"USCGC Larsen, FPO AE 78727",5
354,Jason Ayers,junior data engineer,ETL,1985-11-29,2007-06-24,watsonjake@example.net,481798940540188,"156 Janet Station Apt. 851, South Christopherhaven, RI 52202",17
405,Sabrina Wright,junior data analyst,Tableau,1985-05-08,2023-07-05,sharonhorn@example.org,150850594983378,"PSC 9475, Box 8592, APO AP 76833",1
181,Brady Luna,junior software engineer,JavaScript,1969-05-11,2020-07-24,hollowaydanielle@example.com,125784881590861,"3164 Jerry Cape Suite 842, East Jamesport, DC 73209",4
10,Nicole Paul,senior software engineer,Microservices,1960-03-30,2019-12-27,burtonerin@example.com,5342079176913,"740 Henderson Course Apt. 019, Lake Matthew, VA 73498",4
139,Scott Norman,junior data scientist,Python,1993-05-31,2014-10-24,williamspeter@example.com,8905041507722,"99792 Joshua Hollow Apt. 660, Patrickhaven, AR 06984",9
378,John Frazier,senior data analyst,Statistics,1989-08-07,2019-05-22,johnpowell@example.com,515785379311354,"USNS Espinoza, FPO AE 56224",5
471,Patricia Obrien,junior data analyst,Excel,1978-09-05,2011-07-07,cfoley@example.net,17943506992000,"4035 Lawrence Wall Suite 984, Craigburgh, OK 18065",13
263,Johnny Howard,senior data analyst,Statistics,1958-01-28,2005-03-08,donna75@example.net,5196777112,"Unit 3291 Box 8929, DPO AE 45277",19
243,Dustin Wheeler,junior data scientist,Data Visualization,1993-02-24,2022-10-24,danawest@example.com,8709405263,"434 Scott Forges Suite 374, Karenchester, ND 47877",1
378,William Anderson,junior data analyst,SQL,1997-10-05,2014-06-25,janicetucker@example.net,6495031695928,"Unit 4982 Box 9552, DPO AA 28494",10
363,Gregg Lucero,senior data analyst,Statistics,1978-11-14,2005-05-03,jenkinskendra@example.com,173387660868437,"USNS Thomas, FPO AP 54019",19
191,Calvin Pineda,senior data engineer,Spark,1972-10-29,2011-08-15,mcconnellrachel@example.com,19597803061290,"2744 Rachael Forks, Owenport, KY 14718",13
121,Crystal Martin,senior data analyst,Data Modeling,1980-05-19,2016-03-24,perezcarrie@example.com,5713373095913,"508 Kayla Summit Suite 168, Robinsonfort, OR 93473",8
284,Tanya Parrish,senior data analyst,Data Modeling,1971-02-11,2011-08-13,whaynes@example.net,4627935268,"290 Brown Haven, Drewtown, KS 05279",13
287,Frances Brewer,senior data engineer,Spark,1983-10-16,2013-01-09,vasquezcharles@example.com,9378471677,"716 Smith Extension, North Ryan, FL 47337",11
320,Darin Martin,senior software engineer,DevOps,2004-11-27,2018-08-02,brownpatricia@example.net,324389728942549,"093 Heather Glens Apt. 758, New Karen, CA 84577",6
383,Daniel Williams,junior data engineer,Python,1989-10-12,2021-07-18,tpatterson@example.com,8458616916,"8667 Lamb Square, East Samuelhaven, NY 59757",3
412,Brian Boone,senior software engineer,DevOps,1989-07-02,2006-06-01,jodywalters@example.org,163724540759200,"0717 Russell View Suite 523, Gonzalezton, PA 66732",18
121,Mr. Glenn Campbell,senior data analyst,Statistics,1984-10-30,2015-04-29,powerslinda@example.org,22768358618469,"PSC 9609, Box 9417, APO AP 61411",9
318,Karl Padilla,senior data engineer,Hadoop,1977-03-07,2015-05-09,jeffrey78@example.org,3645330693,"6379 John Estates, Mossmouth, OR 54909",9
499,Wendy Nelson,senior data scientist,Natural Language Processing,1954-01-24,2017-03-01,zchoi@example.net,578970004653176,"1858 Derek Forest, Kellytown, MS 69835",7
20,Steve Bruce,senior data engineer,Data Lakes,1976-02-02,2005-05-23,laurenwebb@example.org,15097755950,"706 Lester Shores, East Jonathan, AK 53296",19
369,Misty Forbes,junior data scientist,Python,1998-12-31,2020-07-16,arthur84@example.org,4217330478836,"USNV Brooks, FPO AP 80576",4
459,Ryan Jackson,junior data engineer,Python,1964-12-31,2017-03-07,cameron61@example.com,6162324856042,"061 Barber Way, South Kathrynberg, WY 43214",7
427,Anthony Estrada,senior software engineer,Microservices,1976-04-25,2023-03-03,shannonadams@example.com,27999932056896,"68353 John Terrace Suite 003, New Katherine, ID 39094",1
452,Jerry Love,senior data analyst,Predictive Analytics,1960-06-08,2011-02-22,nicholaslee@example.net,1328567396468393,"2772 Rachel Hills, New Alicia, HI 58404",13
178,Jennifer White,senior data scientist,Natural Language Processing,1980-08-06,2012-03-28,fitzgeraldcourtney@example.com,8108363462,"1301 Ayala Harbors, Anthonyshire, MH 90486",12
314,Vanessa Greene MD,senior data engineer,Data Lakes,1978-09-28,2014-07-24,turnerevan@example.org,5883474992650,"480 Olson Mount, Gravesfurt, FM 24251",10
87,Jackie Hardy,senior software engineer,Microservices,1974-05-12,2011-04-25,gregorychambers@example.org,1703427329848356,"8896 Amanda Alley Apt. 526, Emmashire, SD 36348",13
283,Rodney Cain,junior software engineer,JavaScript,1990-05-23,2013-02-19,marthamiller@example.net,5096772205501,"Unit 9599 Box 2431, DPO AA 27483",11
78,Tyler Nunez,senior data analyst,Data Modeling,1984-05-07,2020-01-16,djordan@example.net,68345449988539,"64261 Schultz Throughway, New Jennifer, WI 02374",4
429,Paige Johnson,senior data analyst,Data Modeling,1983-05-31,2014-04-24,joshua73@example.org,184785387909518,"79801 Charles Common, East Susan, WV 15106",10
143,Megan Patterson,junior data analyst,SQL,1973-08-29,2013-06-07,christopher02@example.net,14558682557,"929 Evan Avenue Suite 427, Matthewbury, MH 62323",11
367,Carrie Garcia,senior data scientist,Machine Learning,1991-11-23,2020-06-02,brownlisa@example.org,15269698301,"3292 Thomas Land Suite 655, South Bryanshire, VT 21361",4
394,Lisa Johnson,senior data scientist,TensorFlow,1966-08-21,2017-09-07,catherine79@example.net,6079703250,"021 Kennedy Locks, Lake Emily, MI 94549",7
252,Nichole Brown,junior software engineer,HTML,1987-05-11,2020-09-23,jamie19@example.net,5713488767,"6286 Raymond Shores Suite 572, North Marcusshire, NH 44520",4
293,Brandon Zuniga,junior data engineer,Python,1982-01-01,2020-09-30,michael42@example.net,160028405262597,"9220 Clark Fort, New Debraland, MH 29651",4
459,Jessica Johnson,junior data engineer,Data Warehousing,1971-08-22,2016-07-31,kfrederick@example.org,176185278016076,"84661 Ruth Oval, Monicastad, NJ 96934",8
122,Thomas Richardson,senior data engineer,Data Lakes,1968-11-13,2023-03-23,smithcalvin@example.com,9055864337,"5679 Veronica Forge, Kaylachester, IN 26842",1
169,Barry Riley,senior data analyst,Statistics,1958-12-08,2023-02-02,dware@example.com,12384733668985,"368 Vincent Road Suite 192, Lake Valerie, MN 44351",1
449,Troy Henry,senior data engineer,Hadoop,1962-02-12,2010-02-07,jbrewer@example.com,7138411974,"60758 Hancock Point Apt. 877, Jamesstad, VI 34687",14
211,Derrick Woods,senior data analyst,Predictive Analytics,1963-03-20,2011-01-14,marquezmichelle@example.org,134528236883393,"91461 Lee Bypass, Alvarezchester, VT 69000",13
334,Bianca Phelps,junior data analyst,Tableau,1981-10-23,2015-07-02,zclark@example.net,9795100464487,"4879 Douglas Rapids Suite 866, Fullerside, WA 76239",9
66,Nicholas Smith,senior data scientist,Machine Learning,1959-07-12,2009-09-10,mgonzales@example.org,4993502485,"72344 Gray Port Suite 633, Danielview, WA 93491",15
10,Drew Burke,senior data analyst,Predictive Analytics,1954-08-10,2009-11-29,jack98@example.net,174478672704507,"49649 Melissa Rapid Apt. 053, Port Jimmyburgh, ND 20044",14
306,Robert Roberts,senior data engineer,Data Lakes,1981-05-26,2014-05-10,vincentlisa@example.net,624488583234449,"138 Steven Burgs, North Wayne, WA 60358",10
103,Ethan Sullivan,senior software engineer,Cloud Computing,2005-01-16,2020-03-21,elizabethanderson@example.com,18573154592,"63429 Willis Rapid Apt. 581, West Evan, NH 27192",4
188,Jasmine Medina,junior data analyst,Tableau,1960-07-24,2009-02-04,kennethlopez@example.com,806282724598747,"52131 Stephanie Creek Suite 020, Clarkside, AL 53510",15
177,Susan Larsen,junior software engineer,HTML,1984-11-23,2005-03-09,mkrause@example.net,78454812291921,"Unit 9429 Box 9309, DPO AP 87687",19
145,John Adams,senior data scientist,Machine Learning,2006-01-27,2017-03-06,jeffreymiller@example.net,16623635810,"543 Fisher Lodge, West Hollystad, NV 31101",7
51,Daniel Mason,senior data scientist,Natural Language Processing,1966-01-05,2006-10-22,hinesmark@example.net,42875955818723,"2797 Matthews Squares, North Kellytown, NH 95727",17
210,Daniel Lewis,senior software engineer,Cloud Computing,1958-04-27,2022-04-21,vwebb@example.com,78226728415120,"3284 Kimberly Route, Leebury, CO 88780",2
41,Nicole Rivera,junior data scientist,Data Visualization,1964-01-15,2014-04-26,delgadojennifer@example.com,84698251126818,"85621 Johnson Rest, New Justin, KY 91419",10
304,Elizabeth White,junior data engineer,Data Warehousing,1966-07-08,2018-10-13,bryanjohnson@example.com,76849617223710,"12866 Madison Mill, South Brianstad, FM 28322",5
423,Christina King,senior software engineer,Cloud Computing,1965-02-27,2021-01-08,pwalker@example.net,14425462833182,"4285 Justin Summit Suite 091, Smithshire, PA 90957",3
211,Leslie Marks,senior data analyst,Statistics,1973-11-19,2016-07-14,volson@example.org,15872900017656,"849 Hernandez Light, South Timothytown, MH 97989",8
438,Adrian Diaz,junior data analyst,Tableau,2002-06-17,2005-12-31,sherry18@example.com,167220316119702,"5237 Christina Summit Apt. 213, New Melissahaven, ID 93667",18
430,Jamie Cruz,senior data engineer,Spark,1965-08-21,2013-10-05,teresabaker@example.com,2023268229326,"28369 Jaclyn Inlet Apt. 567, Josephburgh, TN 31629",11
425,Sean Smith,senior software engineer,DevOps,1982-08-04,2016-12-26,george12@example.org,38054185195949,"8043 Nicholas Island, Nathanberg, MS 78194",7
101,Christopher Johnson,senior data engineer,Spark,1962-11-01,2020-02-20,bishopkathleen@example.com,18103350486,"735 Jacqueline Summit, New Davidton, VI 02535",4
479,Ashley Keller,senior data engineer,Spark,1993-06-12,2007-12-12,paigewhite@example.org,9386104233680,"1199 Kevin Dale, Port Michael, VT 04734",16
302,Marco Frank,senior software engineer,DevOps,1978-02-11,2019-05-13,pglenn@example.net,702777688659284,"523 Christopher Wall, Bryanland, WA 77302",5
328,Michael Beard,junior data scientist,Python,1975-03-11,2005-02-17,stephenscarolyn@example.org,737619610465737,"3679 Christopher Extensions Apt. 807, Popeland, AS 40455",19
195,Jason Fox,senior data scientist,Machine Learning,1969-10-20,2017-10-04,charles81@example.com,5213977623,"88235 Elizabeth Square, Lake Benjaminburgh, NH 33427",7
102,Linda Gilmore,senior data engineer,Spark,1983-12-24,2011-10-17,jonathan11@example.com,4475449947,"621 Kristen Cliff, Miguelhaven, MA 98094",12
63,Justin Hernandez,junior data engineer,ETL,1969-03-11,2013-09-18,brittneyeaton@example.net,17939117977,"66783 Thomas Mission, Manningfurt, ID 30540",11
91,Sean Hansen,junior software engineer,HTML,1977-08-27,2017-03-25,carlacampbell@example.com,57170657989453,"58224 Mendoza Camp Suite 319, Joanneland, NC 82167",7
448,Anna Holt,junior data scientist,Data Visualization,1972-05-04,2015-09-06,diane68@example.com,1646241468150547,"779 Jeffrey Cove, New Mikeborough, VT 58427",9
263,Margaret Ferguson,senior data scientist,TensorFlow,1983-02-18,2011-09-15,amanda83@example.net,4264770269796,"4626 Mccullough Square Apt. 282, North Jamie, FL 20969",13
252,Ian Powers,junior data scientist,Python,2003-03-20,2010-02-07,kimberly59@example.net,39072582341622,"710 Barbara Locks Apt. 771, Scottton, NV 07584",14
435,Jared Cochran,junior data engineer,Python,1977-11-29,2009-02-19,nathanpitts@example.com,53987074301886,"68337 Kayla Turnpike Apt. 926, New Melissaton, MH 84890",15
118,Cassandra Jackson,senior data scientist,Machine Learning,1956-12-13,2021-09-18,amanda78@example.org,5484028247,"35971 Williams Lodge, Gregorymouth, MA 54018",3
492,Jose West,junior data analyst,SQL,1990-05-12,2021-11-16,prestonwalker@example.net,267596330072415,"1608 Troy Locks, New Thomastown, AS 78291",2
135,Randy Davis,senior software engineer,Microservices,1961-01-23,2015-11-09,castillojennifer@example.net,227972186015741,"8637 Tamara Summit, East Jerometown, RI 79460",8
495,Mark Rosales,senior software engineer,Microservices,1990-12-31,2018-03-26,antoniohall@example.net,8176823706244,"835 Cynthia Prairie, South Christineland, MA 81935",6
443,Richard Hanson,senior data engineer,Hadoop,1955-09-27,2021-03-10,gina44@example.com,534203426153866,"00504 Megan Canyon, New Jenniferberg, MO 57406",3
142,Julie Adams,junior data analyst,Excel,1981-01-30,2024-07-21,amanda69@example.com,92171893291798,"Unit 5513 Box 9731, DPO AE 62352",0
28,Emily Cook,junior data engineer,Python,2003-03-21,2022-10-28,allensanchez@example.net,14924362123,"USNV Hicks, FPO AA 28214",1
398,Thomas Ryan,junior software engineer,HTML,1995-10-05,2017-04-16,amy94@example.net,15118611026093,"0222 Colleen Ports, Mollyfurt, OR 53445",7
122,Crystal Dominguez,junior software engineer,HTML,2003-07-29,2015-03-28,klewis@example.com,5773181104,"2375 Pearson Garden, North Aaron, DC 39547",9
244,Dr. Tonya Howard,junior data engineer,Python,1963-01-07,2018-10-22,marksmith@example.com,3818487278,"74042 Mason Parks Apt. 405, West Teresamouth, AS 04743",5
312,Kimberly Smith,senior data scientist,Natural Language Processing,1956-08-06,2024-01-24,holmesrichard@example.net,8307343225555,"4775 Brandon Drive Suite 310, Tammyside, KS 02146",0
121,Wesley Joseph,junior data scientist,Python,1979-06-13,2017-01-10,robertschultz@example.com,5588799291,"248 Sophia Ports Suite 083, Simmonsstad, CA 54005",7
59,Christopher Haas,junior data scientist,Data Visualization,2005-04-20,2012-03-20,danielsingh@example.org,35953466424010,"USNV Wilson, FPO AP 01967",12
489,Michael Willis,junior data analyst,Tableau,1955-05-06,2022-11-02,yfuller@example.net,9049747290612,"1950 Erika Trafficway Apt. 870, West Yolandastad, MA 52703",1
60,Karen Mueller,senior data analyst,Predictive Analytics,1987-10-28,2023-10-11,bmercado@example.net,6424525520918,"785 Karen Divide, Christineview, MN 33650",1
104,Gail Galvan,junior data analyst,SQL,1972-12-03,2021-12-21,devonduncan@example.com,2476207224,"1175 Thomas Grove, Crystalside, GA 22760",2
419,Alison Walsh,senior software engineer,Cloud Computing,1985-03-12,2015-03-24,luis84@example.org,8608597298657,"56166 Brian Shoals Apt. 878, New Cherylland, NY 48101",9
239,Manuel Johnson,junior data analyst,SQL,1989-10-18,2008-08-23,lancewagner@example.org,94432872804471,"PSC 8790, Box 3999, APO AA 78158",16
428,Colin Myers,senior software engineer,Cloud Computing,1993-04-01,2020-06-18,cassandraobrien@example.com,19745022807,"08853 Garcia Tunnel, East Lisaview, KY 60102",4
163,Rachel Weaver,senior data analyst,Data Modeling,2003-01-14,2009-04-07,barajaswilliam@example.net,7596282331,"USCGC Butler, FPO AE 06313",15
361,Patricia Fisher,senior software engineer,Cloud Computing,1954-12-29,2010-03-03,james85@example.org,726992323726285,"98857 Sydney Ford, South Jennifer, KS 63766",14
469,Joseph Preston,senior data analyst,Data Modeling,2000-07-13,2015-08-04,jonathanwilliams@example.org,199488151796198,"19440 Elizabeth Greens, South Russell, DE 88174",9
269,Andrew Vargas,junior data analyst,SQL,1988-09-26,2010-02-26,colin14@example.net,789465064647887,"USNS Pennington, FPO AA 62290",14
497,Wayne Sawyer,senior data engineer,Hadoop,1972-06-26,2009-11-20,leah26@example.org,1665931829904956,"5362 Thompson Landing Suite 801, New Linda, ME 75823",14
392,Jessica Perez,junior software engineer,JavaScript,1991-04-19,2007-09-10,nancy99@example.net,661605528892241,"545 Smith Street Apt. 750, Port Timothy, MN 90077",17
453,Valerie Jacobs,junior data scientist,Python,2006-02-23,2022-05-21,hendersonsharon@example.net,17342774332159,"080 Sarah Roads Apt. 694, Seanstad, MA 76125",2
180,Thomas Bell,senior data analyst,Predictive Analytics,1973-12-21,2021-01-01,gloriadowns@example.org,16914736352,"88530 Hooper Loop, Richardsonmouth, TX 64972",3
418,John Scott,junior data analyst,Excel,1954-10-06,2010-05-30,paul59@example.org,8886204305230,"PSC 7032, Box 9913, APO AA 84384",14
274,Antonio Harris,senior software engineer,DevOps,2004-10-24,2015-06-10,ricardomeyer@example.com,13373208876977,"8190 Nash Turnpike, New Barbara, LA 54945",9
290,Rickey Miranda,junior data engineer,Python,1997-08-17,2010-07-13,alexanderpacheco@example.com,8587937597,"Unit 2492 Box 8636, DPO AP 48580",14
426,Andrew Randall,junior data scientist,Python,1970-05-03,2016-09-20,ashleycarrillo@example.com,6798866960734,"9364 David Harbor Suite 917, Hallfort, IL 80259",8
183,Timothy Rios,senior software engineer,Cloud Computing,1991-10-22,2014-11-21,rbuckley@example.org,16293535021,"582 Stanton Villages Suite 929, Jenniferstad, CO 84881",9
5,Angela Lyons,senior data engineer,Spark,1956-09-17,2010-04-30,millerchristopher@example.org,7106518444226,"3369 Morgan Plaza Apt. 082, Amberbury, NM 26740",14
164,Tonya Harper,senior data engineer,Data Lakes,2006-04-16,2022-06-24,dawn76@example.org,2582796944,"339 Miller Centers, Michaelborough, WA 80750",2
47,Donald Lopez,senior data engineer,Data Lakes,1989-05-21,2018-09-09,wendystewart@example.com,15144031712347,"3473 Brianna Wells Suite 290, Stanleymouth, GA 81866",6
387,Kyle King,senior data engineer,Data Lakes,1962-12-25,2024-07-28,kathy46@example.com,640536758165073,"149 Kara Cliff Suite 271, Chavezville, WI 87456",0
71,John Bolton,junior data analyst,SQL,1982-12-15,2019-01-05,jasongay@example.net,8994808927802,"16650 James Burg Suite 335, Lake Crystal, ME 92339",5
185,Tamara Hoffman,junior data scientist,Python,1988-10-19,2016-12-06,smithlaura@example.com,4987215090,"7277 James Meadows Apt. 591, East Jacquelineland, AZ 50695",7
56,Peter Chapman,junior data scientist,Python,1966-11-01,2016-07-29,patriciastout@example.com,13486751544322,"USNV Porter, FPO AA 38468",8
479,Mark Lowery,junior data analyst,Excel,1998-09-13,2017-08-06,boltonjamie@example.com,5218339241,"3028 Morris Island Apt. 617, North Christopher, MA 21714",7
302,Mrs. Doris Jones,senior data scientist,Natural Language Processing,1999-04-11,2019-11-03,wrightcatherine@example.net,2215846650,"94879 Lopez Ridge Apt. 980, North Mariashire, SC 84632",4
75,Mark Owens,junior data analyst,Tableau,2002-01-24,2018-02-26,blevinssandra@example.org,5533267334,"2118 Victor Cliff Apt. 345, North Davidtown, KY 08205",6
416,Jason Humphrey,senior software engineer,Microservices,1968-03-04,2008-10-01,djuarez@example.net,1437663794507899,"6298 Beck Shoal, Lake Jacobberg, CT 11424",16
352,Robert Good,junior software engineer,HTML,1955-10-13,2020-04-27,nwiley@example.net,8053778176,"USNS Watson, FPO AP 46569",4
122,David Davis,junior data engineer,ETL,1961-11-06,2022-08-19,andrew55@example.com,1877494207758720,"513 Jones Glen Suite 090, South Grace, VA 59201",2
467,Amy Marshall,junior data engineer,Data Warehousing,1985-12-03,2019-04-20,dana47@example.com,4628457648,"267 Lisa Mountain, East Andrew, OK 58058",5
130,Jennifer Stevens,junior software engineer,HTML,2006-03-10,2011-02-18,longpatrick@example.net,9929338146,"02779 Olson Junction, New Catherineton, ID 71485",13
311,Anne Wright,senior data analyst,Data Modeling,1957-03-14,2023-07-14,kim74@example.org,4836107485,"USS Ruiz, FPO AA 71276",1
335,Susan Turner,junior data engineer,Data Warehousing,1958-10-24,2011-10-25,brownleslie@example.org,154247192556223,"Unit 2435 Box 5362, DPO AA 42380",12
385,Aaron Hayes,senior data engineer,Spark,2002-05-18,2007-05-25,murphymatthew@example.net,7294534430,"7318 Christine Springs, East Lisa, ND 89275",17
438,Sheri Robinson,senior data engineer,Spark,1972-12-08,2008-04-20,jose24@example.org,16452954128,"9660 Latasha Squares Apt. 183, Smithfort, AS 51761",16
